Particulars,India/ State/ UTs,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Senior Secondary School,Kerala,Girl,NA,NA,NA,NA,NA,316061,292804,339829,369932,374344
Senior Secondary School,Lakshadweep,Total,804,961,1068,1191,1587,2046,2046,2156,2336,2149
Senior Secondary School,Lakshadweep,Boy,NA,NA,NA,NA,NA,1012,1012,1109,1175,1038
Senior Secondary School,Lakshadweep,Girl,NA,NA,NA,NA,NA,1034,1034,1047,1161,1111
Senior Secondary School,Madhya Pradesh,Total,556095,493930,651870,701066,771479,922786,1063920,1152728,1211034,1433204
Senior Secondary School,Madhya Pradesh,Boy,NA,NA,NA,NA,NA,578880,666916,717252,755843,873958
Senior Secondary School,Madhya Pradesh,Girl,NA,NA,NA,NA,NA,343906,397004,435476,455191,559246
Senior Secondary School,Maharashtra,Total,1521865,1597493,1670121,1779999,1851926,1820063,1897273,2156340,2356976,2385711
Senior Secondary School,Maharashtra,Boy,NA,NA,NA,NA,NA,1047780,1076114,1216751,1329909,1353215
Senior Secondary School,Maharashtra,Girl,NA,NA,NA,NA,NA,772283,821159,939589,1027067,1032496
Senior Secondary School,Manipur,Total,16982,37826,21238,23178,23918,24683,24804,28325,32133,36185
Senior Secondary School,Manipur,Boy,NA,NA,NA,NA,NA,13838,13870,15541,18160,19523
Senior Secondary School,Manipur,Girl,NA,NA,NA,NA,NA,10845,10934,12784,13973,16662
Senior Secondary School,Meghalaya,Total,20420,29456,25834,26162,29634,31734,11171,17950,17984,18080
Senior Secondary School,Meghalaya,Boy,NA,NA,NA,NA,NA,16770,5331,8005,8021,8100
Senior Secondary School,Meghalaya,Girl,NA,NA,NA,NA,NA,14964,5840,9945,9963,9980
Senior Secondary School,Mizoram,Total,8975,11341,10539,10283,10555,11762,12816,14649,17049,18437
Senior Secondary School,Mizoram,Boy,NA,NA,NA,NA,NA,6098,6655,7482,8661,9274
Senior Secondary School,Mizoram,Girl,NA,NA,NA,NA,NA,5664,6161,7167,8388,9163
Senior Secondary School,Nagaland,Total,10831,8239,15291,17750,19579,19579,20634,20634,20634,20634
Senior Secondary School,Nagaland,Boy,NA,NA,NA,NA,NA,10586,11175,11175,11175,11175
Senior Secondary School,Nagaland,Girl,NA,NA,NA,NA,NA,8993,9459,9459,9459,9459
Senior Secondary School,Odisha,Total,493000,272671,170599,518480,518525,503878,374642,378561,379236,401586
Senior Secondary School,Odisha,Boy,NA,NA,NA,NA,NA,288145,213039,211968,212403,224888
Senior Secondary School,Odisha,Girl,NA,NA,NA,NA,NA,215733,161603,166593,166833,176698
Senior Secondary School,Puducherry,Total,16767,18695,20147,21250,22364,23692,25487,26388,27821,27578
Senior Secondary School,Puducherry,Boy,NA,NA,NA,NA,NA,11162,11944,12193,12896,12673
Senior Secondary School,Puducherry,Girl,NA,NA,NA,NA,NA,12530,13543,14195,14925,14905
Senior Secondary School,Punjab,Total,302584,331868,290526,302086,327976,344123,343450,451465,376703,442092
Senior Secondary School,Punjab,Boy,NA,NA,NA,NA,NA,194696,191847,243947,205418,240054
Senior Secondary School,Punjab,Girl,NA,NA,NA,NA,NA,149427,151603,207518,171285,202038
Senior Secondary School,Rajasthan,Total,440332,474380,545466,569637,610312,635357,709586,803910,1054687,1251170
Senior Secondary School,Rajasthan,Boy,NA,NA,NA,NA,NA,433799,478617,535398,679765,798009
Senior Secondary School,Rajasthan,Girl,NA,NA,NA,NA,NA,201558,230969,268512,374922,453161
Senior Secondary School,Sikkim,Total,4577,6178,5744,7217,7269,7227,6945,7799,8416,8416
Senior Secondary School,Sikkim,Boy,NA,NA,NA,NA,NA,3639,3362,3722,4077,4077
Senior Secondary School,Sikkim,Girl,NA,NA,NA,NA,NA,3588,3583,4077,4339,4339
Senior Secondary School,Tamil Nadu,Total,898429,984516,1015229,1053705,1083311,1152073,1255511,1109735,1168438,1184232
Senior Secondary School,Tamil Nadu,Boy,NA,NA,NA,NA,NA,551378,597058,524170,540980,543814
Senior Secondary School,Tamil Nadu,Girl,NA,NA,NA,NA,NA,600695,658453,585565,627458,640418
Senior Secondary School,Tripura,Total,27583,29861,30708,31097,32613,36679,46993,47193,40739,44473
Senior Secondary School,Tripura,Boy,NA,NA,NA,NA,NA,21955,26394,26508,23306,25676
Senior Secondary School,Tripura,Girl,NA,NA,NA,NA,NA,14724,20599,20685,17433,18797
Senior Secondary School,Uttar Pradesh,Total,1003861,1678046,1779404,1812250,1857372,1903264,3607193,3208786,3012332,3214212
Senior Secondary School,Uttar Pradesh,Boy,NA,NA,NA,NA,NA,1130307,2122888,1901044,1719258,1904155
Senior Secondary School,Uttar Pradesh,Girl,NA,NA,NA,NA,NA,772957,1484305,1307742,1293074,1310057
Senior Secondary School,Uttarakhand,Total,112230,143914,148823,154577,180338,179418,181350,197945,234309,243545
Senior Secondary School,Uttarakhand,Boy,NA,NA,NA,NA,NA,94394,93534,102969,125510,128504
Senior Secondary School,Uttarakhand,Girl,NA,NA,NA,NA,NA,85024,87816,94976,108799,115041
Senior Secondary School,West Bengal,Total,588274,678797,735883,731059,935626,886810,991542,993311,1015344,1216552
Senior Secondary School,West Bengal,Boy,NA,NA,NA,NA,NA,530333,572137,573161,570348,654044
Senior Secondary School,West Bengal,Girl,NA,NA,NA,NA,NA,356477,419405,420150,444996,562508
